City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
243,Salinopolis,BR,2021-02-04 00:05:16,-0.6136,-47.3561,80.56,82,8,12.24
244,Atuona,PF,2021-02-04 00:05:16,-9.8,-139.0333,78.08,71,1,10.45
245,Sakaiminato,JP,2021-02-04 00:05:17,35.55,133.2333,44.6,93,75,14.97
246,Tam Ky,VN,2021-02-04 00:00:17,15.5667,108.4833,68.0,94,40,6.62
247,Bratsk,RU,2021-02-04 00:05:17,56.1325,101.6142,15.8,86,40,11.18
248,Calamar,CO,2021-02-04 00:05:18,10.2511,-74.9146,78.8,83,20,13.8
249,Mbuji-Mayi,CD,2021-02-04 00:05:18,-6.15,23.6,70.05,92,99,4.83
250,Powell River,CA,2021-02-04 00:05:18,49.8496,-124.5361,44.6,75,75,2.3
251,Tuskegee,US,2021-02-04 00:05:19,32.424,-85.6916,46.4,34,1,4.61
252,Coahuayana,MX,2021-02-04 00:05:19,18.7333,-103.6833,78.8,57,40,4.72
253,Temiscaming,CA,2021-02-04 00:05:19,46.7212,-79.0971,24.8,68,23,4.61
254,Vigeland,NO,2021-02-04 00:05:19,58.0844,7.305,21.99,67,12,11.99
255,Ashta,IN,2021-02-04 00:05:19,23.0167,76.7167,60.91,32,2,4.16
256,Grand Gaube,MU,2021-02-04 00:02:01,-20.0064,57.6608,75.0,89,8,3.0
257,Atikokan,CA,2021-02-04 00:05:20,48.7555,-91.6216,25.7,96,100,8.32
258,Nouadhibou,MR,2021-02-04 00:05:20,20.931,-17.0347,62.6,88,71,17.27
259,Thompson,CA,2021-02-04 00:05:20,55.7435,-97.8558,-0.4,78,90,13.8
260,Basoko,CD,2021-02-04 00:05:20,1.2391,23.616,75.87,74,75,3.6
261,Wodonga,AU,2021-02-04 00:05:20,-36.1167,146.8833,81.0,50,64,16.11
262,Ippy,CF,2021-02-04 00:05:20,6.2679,21.2247,77.61,34,0,3.24
263,Olinda,BR,2021-02-04 00:05:20,-8.0089,-34.8553,78.8,69,40,8.05
264,Tommot,RU,2021-02-04 00:05:21,58.9564,126.2925,-26.41,81,100,2.21
265,Sistranda,NO,2021-02-04 00:05:21,63.7256,8.834,15.8,73,20,17.27
266,Avarua,CK,2021-02-04 00:05:21,-21.2078,-159.775,86.0,70,20,10.36
267,Winsford,GB,2021-02-04 00:05:21,53.1833,-2.5167,42.01,92,83,7.29
268,Akyab,MM,2021-02-04 00:05:21,20.15,92.9,59.38,66,0,5.77
269,Stutterheim,ZA,2021-02-04 00:05:22,-32.5708,27.424,63.7,92,22,0.85
270,Ginir,ET,2021-02-04 00:05:22,7.1333,40.7,54.0,38,0,3.91
271,Semporna,MY,2021-02-04 00:05:22,4.4818,118.6112,75.2,94,20,2.3
272,Puerto Escondido,MX,2021-02-04 00:01:31,15.85,-97.0667,80.37,69,2,4.88
273,Bandarbeyla,SO,2021-02-04 00:05:22,9.4942,50.8122,71.28,75,0,15.93
274,Nichinan,JP,2021-02-04 00:05:22,31.6,131.3667,42.8,65,20,4.61
275,Ellenabad,IN,2021-02-04 00:05:22,29.45,74.65,54.43,59,53,5.68
276,Yangambi,CD,2021-02-04 00:05:23,0.8102,24.4336,73.51,78,74,3.74
277,Fort-Shevchenko,KZ,2021-02-04 00:05:23,44.5086,50.263,42.85,88,76,5.75
278,San Vicente,AR,2021-02-04 00:05:23,-26.6167,-54.1333,72.36,94,99,3.0
279,Balsta,SE,2021-02-04 00:05:23,59.5671,17.5278,17.6,92,75,6.91
280,Parfenyevo,RU,2021-02-04 00:05:23,58.484,43.4088,19.26,97,100,7.38
281,Tabou,CI,2021-02-04 00:05:23,4.423,-7.3528,78.28,88,13,6.6
282,Moa,CU,2021-02-04 00:05:23,20.6569,-74.9403,68.4,64,0,5.82
283,Conceicao Do Araguaia,BR,2021-02-04 00:05:23,-8.2578,-49.2647,76.69,86,53,2.01
284,The Valley,AI,2021-02-04 00:05:24,18.217,-63.0578,79.0,83,40,12.66
285,Belen,TR,2021-02-04 00:05:24,36.4891,36.2233,53.6,76,40,2.3
286,Poum,NC,2021-02-04 00:04:45,-20.2333,164.0167,79.95,80,67,16.64
