City_ID,City,Country,Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
217,Puerto Baquerizo Moreno,EC,scattered clouds,-0.9,-89.6,84.2,79,40,9.22
218,Lewistown,US,mist,40.5992,-77.5714,34.0,100,90,6.67
219,Touros,BR,scattered clouds,-5.1989,-35.4608,87.8,58,40,16.11
220,Bilma,NE,broken clouds,18.6853,12.9164,73.09,18,70,6.22
221,Kudahuvadhoo,MV,scattered clouds,2.6708,72.8944,81.84,73,45,15.75
222,Azul,AR,clear sky,-36.777,-59.8585,77.0,67,4,4.0
223,Port Blair,IN,clear sky,11.6667,92.75,78.98,78,0,8.81
224,Paramirim,BR,overcast clouds,-13.4425,-42.2389,82.65,56,97,4.34
225,Abu Dhabi,AE,clear sky,24.4667,54.3667,73.4,64,0,6.91
226,Vanderhoof,CA,overcast clouds,54.0166,-124.0198,-6.77,88,100,2.51
227,Victoria,HK,clear sky,22.2855,114.1577,68.0,81,0,10.54
228,Llorente,PH,overcast clouds,11.4119,125.5458,79.39,87,100,14.41
229,Kopervik,NO,clear sky,59.2835,5.3067,27.0,50,0,4.61
230,Hun,LY,broken clouds,29.1268,15.9477,76.48,16,77,10.89
231,Esperance,AU,scattered clouds,-33.8667,121.9,64.4,82,40,16.11
232,Lazaro Cardenas,MX,clear sky,17.9583,-102.2,84.24,50,10,1.39
233,Svetlaya,RU,broken clouds,46.5389,138.3297,0.68,85,66,11.03
234,Ribeira Brava,PT,broken clouds,32.65,-17.0667,62.01,87,77,4.0
235,Kungsbacka,SE,few clouds,57.4872,12.0761,25.0,73,20,12.66
236,San Cristobal,VE,few clouds,7.7669,-72.225,86.0,54,20,11.5
237,Ratnagiri,IN,clear sky,16.9833,73.3,78.67,47,7,9.19
238,Dunedin,NZ,scattered clouds,-45.8742,170.5036,57.99,91,47,1.99
239,Beloha,MG,few clouds,-25.1667,45.05,77.23,81,23,9.91
240,Rosario Do Sul,BR,clear sky,-30.2583,-54.9142,85.62,38,0,5.06
241,Tazovskiy,RU,light snow,67.4667,78.7,-13.36,90,100,19.22
242,Taltal,CL,scattered clouds,-25.4,-70.4833,69.4,63,30,7.11
243,Alamos,MX,clear sky,27.0167,-108.9333,76.42,22,0,1.95
244,Haines Junction,CA,broken clouds,60.7522,-137.5108,-29.2,68,71,2.01
245,Kamina,CD,light rain,-8.7386,24.9906,70.11,88,86,5.46
246,Arenapolis,BR,scattered clouds,-14.4503,-56.8461,90.5,40,43,3.78
247,Tura,IN,few clouds,25.5198,90.2201,59.2,42,16,2.28
248,Los Llanos De Aridane,ES,broken clouds,28.6585,-17.9182,66.2,63,75,11.5
249,Sorland,NO,scattered clouds,67.667,12.6934,35.6,80,40,18.41
250,Mnogovershinnyy,RU,light snow,53.9353,139.9242,-2.49,93,100,11.12
251,Taitung,TW,broken clouds,22.7583,121.1444,68.16,69,69,6.67
252,Don Benito,ES,overcast clouds,38.9563,-5.8616,48.99,80,100,8.99
253,Vanimo,PG,overcast clouds,-2.6741,141.3028,77.49,86,100,2.33
254,Komsomolskiy,UZ,overcast clouds,40.4272,71.7189,45.5,83,100,3.53
255,Metlaltoyuca,MX,scattered clouds,20.7333,-97.85,73.4,78,40,9.22
256,Tautira,PF,broken clouds,-17.7333,-149.15,77.0,78,75,2.3
257,Port Elizabeth,ZA,broken clouds,-33.918,25.5701,68.0,94,75,8.05
258,Yulara,AU,clear sky,-25.2406,130.9889,78.8,29,0,6.91
259,Caconda,AO,overcast clouds,-13.7333,15.0667,70.9,60,100,3.6
260,Kutum,SD,few clouds,14.2,24.6667,63.81,25,11,10.18
261,Sterling,US,snow,39.0062,-77.4286,35.01,93,90,6.91
262,Hamcearca,RO,light intensity drizzle,45.1167,28.3667,37.4,93,90,11.5
263,Yenagoa,NG,overcast clouds,4.9247,6.2642,87.4,62,97,11.07
264,Woodstock,CA,overcast clouds,43.1334,-80.7497,14.0,57,91,10.36
265,Sivaki,RU,scattered clouds,52.6333,126.75,-16.44,88,29,6.62
266,Chokurdakh,RU,broken clouds,70.6333,147.9167,-24.79,85,64,6.29
267,Lompoc,US,clear sky,34.6391,-120.4579,53.01,93,1,3.44
268,Shestakovo,RU,overcast clouds,56.4915,103.96,18.25,94,100,6.35
269,Lilongwe,MW,moderate rain,-13.9669,33.7873,66.2,100,40,2.3
270,Pitimbu,BR,broken clouds,-7.4706,-34.8086,89.6,58,75,12.66
271,Faranah,GN,overcast clouds,10.0404,-10.7434,92.55,13,87,8.75
272,Valparaiso,CL,overcast clouds,-33.0393,-71.6273,64.4,72,90,6.91
273,Flinders,AU,broken clouds,-34.5833,150.8552,68.0,77,82,5.01
274,Challapata,BO,broken clouds,-18.9,-66.7667,58.39,51,64,0.87
275,Trairi,BR,scattered clouds,-3.2778,-39.2689,89.02,54,32,13.71
276,Weligama,LK,scattered clouds,5.9667,80.4167,77.25,86,35,2.26
277,Fairbanks,US,clear sky,64.8378,-147.7164,-11.99,76,1,3.44
